,ID,Math,English,Science,Absences,Issues,Social_Behavior,Score_Str,Behavior,Score
0,S0001,100,100,100,0,0,positive,Ideal Model,2,1
1,S0002,78,65,54,13,3,average,Needs Follow-up,0,2
2,S0003,63,91,68,13,5,negative,Needs Follow-up,1,2
3,S0004,83,40,78,13,4,average,Needs Follow-up,0,2
4,S0005,47,66,48,13,4,average,Needs Follow-up,0,2
5,S0006,54,47,51,8,5,negative,Needs Follow-up,1,2
6,S0007,41,61,50,17,5,negative,Needs Follow-up,1,2
7,S0008,68,43,49,1,4,negative,Needs Follow-up,1,2
8,S0009,70,53,69,12,5,negative,Needs Follow-up,1,2
9,S0010,70,60,62,4,4,negative,Needs Follow-up,1,2
10,S0011,88,81,85,6,1,average,Balanced,0,0
11,S0012,42,72,50,8,0,negative,Needs Follow-up,1,2
12,S0013,43,62,53,0,1,average,Needs Follow-up,0,2
13,S0014,69,71,80,17,2,average,Needs Follow-up,0,2
14,S0015,51,60,73,6,0,positive,Balanced,2,0
15,S0016,41,94,41,2,0,average,Balanced,0,0
16,S0017,42,61,49,17,1,average,Needs Follow-up,0,2
17,S0018,91,99,59,5,0,average,Balanced,0,0
18,S0019,61,99,100,19,1,negative,Balanced,1,0
19,S0020,87,70,53,19,3,positive,Needs Follow-up,2,2
20,S0021,100,98,80,15,3,negative,Balanced,1,0
21,S0022,97,66,61,2,0,average,Balanced,0,0
22,S0023,44,61,56,19,2,negative,Needs Follow-up,1,2
23,S0024,52,56,53,8,2,average,Needs Follow-up,0,2
24,S0025,44,99,98,14,4,positive,Balanced,2,0
25,S0026,49,48,82,20,0,negative,Needs Follow-up,1,2
26,S0027,77,44,51,13,5,positive,Needs Follow-up,2,2
27,S0028,90,71,92,18,5,negative,Needs Follow-up,1,2
28,S0029,78,75,50,14,4,average,Needs Follow-up,0,2
29,S0030,71,64,58,0,4,negative,Needs Follow-up,1,2
30,S0031,68,53,49,8,5,positive,Needs Follow-up,2,2
31,S0032,40,96,55,2,4,negative,Needs Follow-up,1,2
32,S0033,88,40,98,11,2,positive,Balanced,2,0
33,S0034,48,77,55,13,5,average,Needs Follow-up,0,2
34,S0035,63,74,76,19,2,average,Needs Follow-up,0,2
35,S0036,54,48,42,2,3,negative,Needs Follow-up,1,2
36,S0037,44,48,96,8,2,average,Needs Follow-up,0,2
37,S0038,94,88,57,2,2,negative,Balanced,1,0
38,S0039,81,94,60,11,0,average,Balanced,0,0
39,S0040,74,74,75,18,0,positive,Balanced,2,0
40,S0041,44,51,65,6,1,negative,Needs Follow-up,1,2
41,S0042,54,86,43,5,0,negative,Needs Follow-up,1,2
42,S0043,62,100,60,12,5,positive,Balanced,2,0
43,S0044,97,95,68,19,3,average,Balanced,0,0
44,S0045,77,50,53,5,1,negative,Needs Follow-up,1,2
45,S0046,48,79,94,0,3,positive,Balanced,2,0
46,S0047,58,90,90,8,3,positive,Balanced,2,0
47,S0048,82,86,99,18,0,positive,Ideal Model,2,1
48,S0049,66,59,80,17,3,average,Needs Follow-up,0,2
49,S0050,59,62,69,15,2,average,Needs Follow-up,0,2
50,S0051,74,49,43,14,2,negative,Needs Follow-up,1,2
51,S0052,75,42,64,3,1,average,Needs Follow-up,0,2
52,S0053,70,63,87,16,3,average,Needs Follow-up,0,2
53,S0054,100,93,66,17,2,negative,Balanced,1,0
54,S0055,79,72,84,14,3,negative,Needs Follow-up,1,2
55,S0056,93,49,99,7,0,positive,Ideal Model,2,1
56,S0057,63,75,69,14,0,negative,Needs Follow-up,1,2
57,S0058,98,70,84,0,0,average,Ideal Model,0,1
58,S0059,59,42,61,1,2,positive,Balanced,2,0
59,S0060,59,90,70,15,1,average,Needs Follow-up,0,2
60,S0061,78,69,84,7,3,average,Balanced,0,0
61,S0062,93,55,96,5,3,negative,Balanced,1,0
62,S0063,49,88,60,15,2,negative,Needs Follow-up,1,2
63,S0064,80,40,72,17,3,negative,Needs Follow-up,1,2
64,S0065,46,81,46,19,2,negative,Needs Follow-up,1,2
65,S0066,50,47,46,14,5,average,Needs Follow-up,0,2
66,S0067,44,86,59,7,5,positive,Needs Follow-up,2,2
67,S0068,43,43,76,7,3,average,Needs Follow-up,0,2
68,S0069,66,98,95,7,5,negative,Balanced,1,0
69,S0070,70,100,78,3,4,negative,Balanced,1,0
70,S0071,62,78,64,14,5,positive,Needs Follow-up,2,2
71,S0072,44,78,77,11,2,average,Needs Follow-up,0,2
72,S0073,57,71,54,9,0,negative,Needs Follow-up,1,2
73,S0074,45,64,68,17,4,average,Needs Follow-up,0,2
74,S0075,78,64,45,11,4,positive,Needs Follow-up,2,2
75,S0076,90,65,55,15,4,positive,Needs Follow-up,2,2
76,S0077,47,42,46,0,5,negative,Needs Follow-up,1,2
77,S0078,77,61,96,19,2,negative,Needs Follow-up,1,2
78,S0079,75,44,51,7,3,positive,Needs Follow-up,2,2
79,S0080,46,68,80,8,4,negative,Needs Follow-up,1,2
80,S0081,53,71,83,4,4,positive,Balanced,2,0
81,S0082,50,76,64,0,0,average,Balanced,0,0
82,S0083,53,97,45,10,5,positive,Needs Follow-up,2,2
83,S0084,73,57,55,17,4,negative,Needs Follow-up,1,2
84,S0085,98,50,40,11,0,negative,Needs Follow-up,1,2
85,S0086,98,64,73,17,3,negative,Needs Follow-up,1,2
86,S0087,58,47,64,5,2,average,Needs Follow-up,0,2
87,S0088,98,90,62,2,1,positive,Ideal Model,2,1
88,S0089,82,85,100,10,0,average,Balanced,0,0
89,S0090,65,94,77,9,5,average,Balanced,0,0
90,S0091,91,58,90,20,0,average,Balanced,0,0
91,S0092,84,68,67,0,5,average,Balanced,0,0
92,S0093,78,57,51,16,0,negative,Needs Follow-up,1,2
93,S0094,88,49,96,2,0,positive,Ideal Model,2,1
94,S0095,70,42,87,13,0,positive,Balanced,2,0
95,S0096,68,87,86,2,0,positive,Ideal Model,2,1
96,S0097,69,86,64,5,0,positive,Ideal Model,2,1
97,S0098,91,43,76,19,0,negative,Needs Follow-up,1,2
98,S0099,85,83,46,14,5,negative,Needs Follow-up,1,2
99,S0100,84,69,98,13,5,average,Balanced,0,0
100,S0101,42,72,82,17,1,positive,Balanced,2,0
101,S0102,75,67,68,16,5,positive,Needs Follow-up,2,2
102,S0103,50,71,100,20,0,average,Balanced,0,0
103,S0104,60,50,100,12,0,average,Balanced,0,0
104,S0105,95,75,73,19,5,negative,Needs Follow-up,1,2
105,S0106,62,42,68,4,1,negative,Needs Follow-up,1,2
106,S0107,69,47,45,20,0,average,Needs Follow-up,0,2
107,S0108,69,82,68,1,0,average,Balanced,0,0
108,S0109,75,49,50,19,1,average,Needs Follow-up,0,2
109,S0110,61,97,52,3,1,negative,Needs Follow-up,1,2
110,S0111,77,79,46,4,5,average,Needs Follow-up,0,2
111,S0112,88,61,82,10,0,negative,Balanced,1,0
112,S0113,78,73,84,8,0,negative,Balanced,1,0
113,S0114,63,91,45,2,5,negative,Needs Follow-up,1,2
114,S0115,57,96,43,18,2,negative,Needs Follow-up,1,2
115,S0116,63,55,63,7,3,average,Needs Follow-up,0,2
116,S0117,94,76,95,2,2,average,Balanced,0,0
117,S0118,86,87,78,14,0,average,Balanced,0,0
118,S0119,57,86,71,4,0,average,Balanced,0,0
119,S0120,50,91,57,4,4,positive,Balanced,2,0
120,S0121,93,59,83,10,0,negative,Balanced,1,0
121,S0122,81,40,54,17,4,negative,Needs Follow-up,1,2
122,S0123,67,48,62,2,2,positive,Balanced,2,0
123,S0124,52,99,55,10,1,average,Needs Follow-up,0,2
124,S0125,93,43,77,8,3,negative,Needs Follow-up,1,2
125,S0126,58,84,48,19,2,positive,Needs Follow-up,2,2
126,S0127,81,80,78,19,1,negative,Needs Follow-up,1,2
127,S0128,48,69,59,15,5,average,Needs Follow-up,0,2
128,S0129,63,49,42,16,1,average,Needs Follow-up,0,2
129,S0130,64,57,82,4,2,average,Balanced,0,0
130,S0131,59,61,97,13,5,positive,Balanced,2,0
131,S0132,81,43,80,20,4,negative,Needs Follow-up,1,2
132,S0133,44,81,65,16,2,positive,Needs Follow-up,2,2
133,S0134,88,81,85,17,1,negative,Balanced,1,0
134,S0135,43,84,95,14,1,negative,Needs Follow-up,1,2
135,S0136,41,98,90,20,4,negative,Needs Follow-up,1,2
136,S0137,42,76,95,6,2,average,Balanced,0,0
137,S0138,73,47,84,1,2,average,Balanced,0,0
138,S0139,90,78,40,13,2,average,Needs Follow-up,0,2
139,S0140,84,58,63,11,0,positive,Balanced,2,0
140,S0141,100,44,66,11,2,average,Needs Follow-up,0,2
141,S0142,91,76,87,3,4,negative,Balanced,1,0
142,S0143,52,83,70,8,1,positive,Balanced,2,0
143,S0144,48,52,43,17,3,negative,Needs Follow-up,1,2
144,S0145,71,70,73,3,0,average,Balanced,0,0
145,S0146,65,63,46,6,5,positive,Needs Follow-up,2,2
146,S0147,86,70,85,6,1,average,Balanced,0,0
147,S0148,97,48,97,8,0,positive,Ideal Model,2,1
148,S0149,99,69,90,15,1,negative,Balanced,1,0
149,S0150,90,61,77,2,1,average,Balanced,0,0
150,S0151,45,62,49,12,5,negative,Needs Follow-up,1,2
151,S0152,66,94,93,7,0,positive,Ideal Model,2,1
152,S0153,94,42,49,12,0,positive,Balanced,2,0
153,S0154,67,71,75,10,4,average,Needs Follow-up,0,2
154,S0155,50,62,64,1,1,positive,Balanced,2,0
155,S0156,82,78,97,14,4,negative,Needs Follow-up,1,2
156,S0157,41,56,71,20,2,positive,Needs Follow-up,2,2
157,S0158,83,84,95,14,4,negative,Needs Follow-up,1,2
158,S0159,51,54,54,5,1,negative,Needs Follow-up,1,2
159,S0160,40,93,50,14,4,negative,Needs Follow-up,1,2
160,S0161,66,77,50,12,1,positive,Needs Follow-up,2,2
161,S0162,63,48,74,5,3,positive,Balanced,2,0
162,S0163,95,80,80,15,3,positive,Balanced,2,0
163,S0164,98,82,42,14,2,average,Needs Follow-up,0,2
164,S0165,46,67,100,19,4,negative,Needs Follow-up,1,2
165,S0166,78,87,75,4,2,negative,Balanced,1,0
166,S0167,47,45,70,5,1,average,Needs Follow-up,0,2
167,S0168,56,80,40,1,4,positive,Balanced,2,0
168,S0169,96,57,72,17,0,negative,Needs Follow-up,1,2
169,S0170,62,49,71,16,4,average,Needs Follow-up,0,2
170,S0171,81,78,88,8,4,positive,Balanced,2,0
171,S0172,50,68,74,11,4,negative,Needs Follow-up,1,2
172,S0173,99,91,66,16,1,negative,Needs Follow-up,1,2
173,S0174,47,41,70,9,3,negative,Needs Follow-up,1,2
174,S0175,58,47,66,5,0,negative,Needs Follow-up,1,2
175,S0176,69,50,72,20,2,average,Needs Follow-up,0,2
176,S0177,76,66,91,17,3,positive,Balanced,2,0
177,S0178,54,63,100,17,3,negative,Needs Follow-up,1,2
178,S0179,70,72,73,5,5,average,Balanced,0,0
179,S0180,74,58,74,8,5,average,Needs Follow-up,0,2
180,S0181,48,87,40,6,5,positive,Needs Follow-up,2,2
181,S0182,85,46,92,15,0,average,Balanced,0,0
182,S0183,99,41,53,3,3,positive,Balanced,2,0
183,S0184,64,57,57,14,2,negative,Needs Follow-up,1,2
184,S0185,69,99,55,17,5,negative,Needs Follow-up,1,2
185,S0186,61,79,45,14,1,negative,Needs Follow-up,1,2
186,S0187,85,95,71,9,0,average,Balanced,0,0
187,S0188,84,80,71,20,5,positive,Balanced,2,0
188,S0189,48,66,55,1,4,average,Needs Follow-up,0,2
189,S0190,74,91,60,19,4,average,Needs Follow-up,0,2
190,S0191,99,84,65,11,5,positive,Balanced,2,0
191,S0192,98,73,59,12,3,positive,Balanced,2,0
192,S0193,98,40,52,9,3,negative,Needs Follow-up,1,2
193,S0194,47,72,70,12,2,negative,Needs Follow-up,1,2
194,S0195,95,98,80,5,1,average,Balanced,0,0
195,S0196,55,67,52,4,3,negative,Needs Follow-up,1,2
196,S0197,60,52,71,4,0,negative,Balanced,1,0
197,S0198,85,67,75,7,4,average,Needs Follow-up,0,2
198,S0199,49,57,48,7,2,average,Needs Follow-up,0,2
199,S0200,83,48,71,19,2,positive,Balanced,2,0
200,S0201,48,54,55,9,3,negative,Needs Follow-up,1,2
201,S0202,85,44,62,17,3,positive,Needs Follow-up,2,2
202,S0203,91,42,52,3,4,positive,Balanced,2,0
203,S0204,91,74,53,12,1,positive,Balanced,2,0
204,S0205,56,55,63,9,4,average,Needs Follow-up,0,2
205,S0206,98,76,97,16,4,negative,Balanced,1,0
206,S0207,65,85,88,0,1,positive,Ideal Model,2,1
207,S0208,44,90,45,20,0,average,Needs Follow-up,0,2
208,S0209,68,92,98,10,5,negative,Balanced,1,0
209,S0210,52,76,48,3,3,negative,Needs Follow-up,1,2
210,S0211,42,80,91,17,0,positive,Balanced,2,0
211,S0212,55,67,78,9,3,positive,Balanced,2,0
212,S0213,84,65,76,0,3,negative,Balanced,1,0
213,S0214,100,66,41,18,5,average,Needs Follow-up,0,2
214,S0215,57,56,74,1,5,positive,Balanced,2,0
215,S0216,78,41,80,1,4,positive,Balanced,2,0
216,S0217,96,46,95,2,1,negative,Balanced,1,0
217,S0218,65,82,96,9,5,average,Balanced,0,0
218,S0219,64,46,66,18,1,negative,Needs Follow-up,1,2
219,S0220,58,89,65,14,4,average,Needs Follow-up,0,2
220,S0221,89,67,83,15,1,negative,Needs Follow-up,1,2
221,S0222,64,50,51,17,1,negative,Needs Follow-up,1,2
222,S0223,65,100,76,2,1,positive,Ideal Model,2,1
223,S0224,64,79,88,12,3,negative,Needs Follow-up,1,2
224,S0225,62,87,65,10,0,negative,Balanced,1,0
225,S0226,74,61,63,9,4,negative,Needs Follow-up,1,2
226,S0227,55,100,48,9,5,average,Needs Follow-up,0,2
227,S0228,81,69,42,3,3,average,Needs Follow-up,0,2
228,S0229,44,70,60,20,0,average,Needs Follow-up,0,2
229,S0230,87,88,45,4,3,average,Balanced,0,0
230,S0231,46,40,88,7,2,positive,Balanced,2,0
231,S0232,51,53,54,1,1,positive,Balanced,2,0
232,S0233,52,54,97,1,4,positive,Balanced,2,0
233,S0234,46,40,79,15,4,negative,Needs Follow-up,1,2
234,S0235,67,79,73,12,1,average,Needs Follow-up,0,2
235,S0236,53,84,48,13,0,positive,Balanced,2,0
236,S0237,63,70,83,3,5,average,Balanced,0,0
237,S0238,47,65,45,14,1,positive,Needs Follow-up,2,2
238,S0239,71,89,59,10,5,negative,Needs Follow-up,1,2
239,S0240,54,51,75,9,2,positive,Balanced,2,0
240,S0241,99,79,51,14,3,average,Needs Follow-up,0,2
241,S0242,57,64,49,18,5,negative,Needs Follow-up,1,2
242,S0243,66,85,86,6,0,negative,Balanced,1,0
243,S0244,91,94,94,18,3,positive,Balanced,2,0
244,S0245,75,43,100,19,5,average,Needs Follow-up,0,2
245,S0246,80,90,47,2,3,average,Balanced,0,0
246,S0247,94,81,69,6,4,average,Balanced,0,0
247,S0248,44,71,58,4,0,negative,Needs Follow-up,1,2
248,S0249,40,84,75,0,1,positive,Balanced,2,0
249,S0250,89,98,92,6,5,average,Balanced,0,0
250,S0251,64,90,68,4,2,average,Balanced,0,0
251,S0252,52,89,97,7,5,negative,Needs Follow-up,1,2
252,S0253,89,76,70,0,1,average,Balanced,0,0
253,S0254,42,76,52,15,0,positive,Balanced,2,0
254,S0255,98,85,51,1,3,positive,Balanced,2,0
255,S0256,80,48,89,3,0,positive,Ideal Model,2,1
256,S0257,65,99,75,19,3,average,Needs Follow-up,0,2
257,S0258,49,50,76,9,4,average,Needs Follow-up,0,2
258,S0259,82,87,57,15,5,negative,Needs Follow-up,1,2
259,S0260,43,71,70,17,1,average,Needs Follow-up,0,2
260,S0261,84,94,62,6,1,average,Balanced,0,0
261,S0262,74,63,90,1,1,average,Balanced,0,0
262,S0263,88,53,54,19,0,average,Needs Follow-up,0,2
263,S0264,68,99,61,12,0,negative,Needs Follow-up,1,2
264,S0265,61,71,48,17,5,negative,Needs Follow-up,1,2
265,S0266,63,51,80,3,1,average,Balanced,0,0
266,S0267,77,48,78,10,2,negative,Needs Follow-up,1,2
267,S0268,71,54,96,10,1,average,Balanced,0,0
268,S0269,53,53,89,8,0,negative,Needs Follow-up,1,2
269,S0270,80,61,79,6,3,average,Needs Follow-up,0,2
270,S0271,75,42,62,11,3,negative,Needs Follow-up,1,2
271,S0272,85,65,80,8,3,positive,Balanced,2,0
272,S0273,54,46,91,17,2,average,Needs Follow-up,0,2
273,S0274,66,77,86,15,2,average,Balanced,0,0
274,S0275,96,80,50,4,4,average,Balanced,0,0
275,S0276,94,48,77,3,2,negative,Balanced,1,0
276,S0277,65,42,69,1,0,positive,Balanced,2,0
277,S0278,68,90,78,18,5,negative,Needs Follow-up,1,2
278,S0279,40,51,97,2,4,average,Needs Follow-up,0,2
279,S0280,99,56,42,11,3,positive,Needs Follow-up,2,2
280,S0281,44,87,81,7,5,positive,Balanced,2,0
281,S0282,98,70,60,2,2,negative,Balanced,1,0
282,S0283,87,97,90,0,0,average,Ideal Model,0,1
283,S0284,67,59,87,15,3,positive,Balanced,2,0
284,S0285,54,98,68,3,3,negative,Needs Follow-up,1,2
285,S0286,78,93,91,17,4,positive,Balanced,2,0
286,S0287,47,95,74,5,0,negative,Balanced,1,0
287,S0288,42,84,98,7,0,average,Balanced,0,0
288,S0289,94,95,58,9,1,negative,Balanced,1,0
289,S0290,68,73,72,18,3,positive,Balanced,2,0
290,S0291,51,84,86,10,1,negative,Needs Follow-up,1,2
291,S0292,63,62,96,10,0,average,Balanced,0,0
292,S0293,84,63,94,10,5,average,Balanced,0,0
293,S0294,97,62,54,4,0,negative,Balanced,1,0
294,S0295,92,61,79,3,1,positive,Balanced,2,0
295,S0296,88,97,77,6,3,positive,Balanced,2,0
296,S0297,97,64,43,7,3,negative,Needs Follow-up,1,2
297,S0298,94,53,88,20,3,negative,Needs Follow-up,1,2
298,S0299,44,62,85,7,2,average,Needs Follow-up,0,2
299,S0300,73,65,70,16,3,negative,Needs Follow-up,1,2
300,S0301,56,42,68,0,3,average,Needs Follow-up,0,2
301,S0302,67,57,59,12,2,negative,Needs Follow-up,1,2
302,S0303,98,90,69,19,2,positive,Balanced,2,0
303,S0304,78,48,77,6,5,average,Needs Follow-up,0,2
304,S0305,85,86,94,0,2,average,Balanced,0,0
305,S0306,77,68,54,4,2,negative,Needs Follow-up,1,2
306,S0307,51,85,93,15,1,positive,Balanced,2,0
307,S0308,87,89,94,6,0,negative,Balanced,1,0
308,S0309,68,73,73,10,0,negative,Balanced,1,0
309,S0310,51,86,58,20,1,average,Needs Follow-up,0,2
310,S0311,82,74,67,0,2,negative,Balanced,1,0
311,S0312,79,81,86,19,4,negative,Needs Follow-up,1,2
312,S0313,61,53,40,15,5,negative,Needs Follow-up,1,2
313,S0314,78,84,59,5,2,positive,Balanced,2,0
314,S0315,51,77,62,8,2,positive,Balanced,2,0
315,S0316,74,67,59,2,2,average,Balanced,0,0
316,S0317,78,92,49,9,2,average,Balanced,0,0
317,S0318,81,92,91,20,0,negative,Balanced,1,0
318,S0319,72,81,45,12,0,negative,Needs Follow-up,1,2
319,S0320,74,59,45,7,5,positive,Needs Follow-up,2,2
320,S0321,87,84,65,3,3,average,Balanced,0,0
321,S0322,52,51,75,2,2,positive,Balanced,2,0
322,S0323,88,72,55,19,4,negative,Needs Follow-up,1,2
323,S0324,89,64,78,15,3,average,Needs Follow-up,0,2
324,S0325,71,44,58,9,5,average,Needs Follow-up,0,2
325,S0326,74,80,96,18,5,positive,Balanced,2,0
326,S0327,90,64,43,7,5,average,Needs Follow-up,0,2
327,S0328,44,48,72,20,2,average,Needs Follow-up,0,2
328,S0329,62,93,94,18,1,average,Balanced,0,0
329,S0330,60,69,65,8,3,negative,Needs Follow-up,1,2
330,S0331,72,94,46,11,3,negative,Needs Follow-up,1,2
331,S0332,79,98,76,6,2,average,Balanced,0,0
332,S0333,70,94,48,0,3,negative,Needs Follow-up,1,2
